"","DATE ID","DATE"
"1",1,1960
"2",2,1961
"3",3,1962
"4",4,1963
"5",5,1964
"6",6,1965
"7",7,1966
"8",8,1967
"9",9,1968
"10",10,1969
"11",11,1970
"12",12,1971
"13",13,1972
"14",14,1973
"15",15,1974
"16",16,1975
"17",17,1976
"18",18,1977
"19",19,1978
"20",20,1979
"21",21,1980
"22",22,1981
"23",23,1982
"24",24,1983
"25",25,1984
"26",26,1985
"27",27,1986
"28",28,1987
"29",29,1988
"30",30,1989
"31",31,1990
"32",32,1991
"33",33,1992
"34",34,1993
"35",35,1994
"36",36,1995
"37",37,1996
"38",38,1997
"39",39,1998
"40",40,1999
"41",41,2000
"42",42,2001
"43",43,2002
"44",44,2003
"45",45,2004
"46",46,2005
"47",47,2006
"48",48,2007
"49",49,2008
"50",50,2009
"51",51,2010
"52",52,2011
"53",53,2012
"54",54,2013
"55",55,2014
"56",56,2015
"57",57,2016
"58",58,2017
"59",59,2018
"60",60,2019
"61",61,2020
"62",62,2021
"63",63,2022
"64",64,2023
"65",65,2024
"66",66,2025
"67",67,2026
"68",68,2027
"69",69,2028
"70",70,2029
"71",71,2030
"72",72,2031
"73",73,2032
"74",74,2033
"75",75,2034
"76",76,2035
"77",77,2036
"78",78,2037
"79",79,2038
"80",80,2039
"81",81,2040
"82",82,2041
"83",83,2042
"84",84,2043
"85",85,2044
"86",86,2045
"87",87,2046
"88",88,2047
"89",89,2048
"90",90,2049
"91",91,2050
